Carimbo de data/hora,Pontuação,Qual a sua idade?,Qual o seu género? 2,Qual a sua maior qualificação académica?,Selecione o continente onde reside?,Como define o seu conhecimento sobre as energias renováveis?,Qual o grau de importância das energias renováveis nas fontes de energia?,Como define o beneficio das energias renováveis para o meio ambiente?,"Quão provável é que a indústria adote fontes de energia limpa em grande escala, reduzindo as emissões de carbono?  ",Acredita que a ampla adoção de energias renováveis em edifícios residenciais e comerciais seja viável?,Utiliza energia solar na sua residência?,Considera investir em energia solar para a sua residência?,Quais são os principais obstáculos que o impedem de adotar fontes de energia renovável?,"Em termos de custos, qual seria o intervalo de valores que considera ser um valor acessível para o investimento em energias ?","Acredita-se que tecnologias avançadas de armazenamento de energia, por exemplo:  bombeamento hidrelétrico,  ar comprimido,  supercondensador, armazenamento térmicos, baterías e volantes de inercía, desempenharão um papel fundamental na expansão das energias renováveis. Quão provável é que essas tecnologias se tornem amplamente disponíveis? ",Considera que os veículos elétricos superem os veículos movidos a combustíveis fósseis em popularidade nas próximas décadas? ,Quão provável é que a energia solar e eólica se tornem as principais fontes de eletricidade em todo o mundo? ,"Os governos deveriam oferecer incentivos financeiros significativos para encorajar a adoção de fontes de energia renovável, como solar e eólica.","
11/14/2023 20:01:38,0,27,2. Maculino,4. Licenciatura,3. América do Sul,2. Tenho pouco conhecimento,5. Muito Importante,5. Muito Importante,Muito Provável,Extremamente Provável,2. Não (passa para a questão 11),1. Sim,"1. Custos Iniciais Elevados, 2. Falta de Conhecimento",1 . Até 999€,Provável,Extremamente Provável,Extremamente Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,1. até 49€,1. até 25%,1. Sim,2. Não,5. Extremamente provável,5. Extremamente provável,2. Não,1. Sim,2. Com frequência,4. Nunca,1. Sim,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo,Concordo
11/14/2023 20:18:08,0,27,2. Maculino,5. Mestrado,1. África,2. Tenho pouco conhecimento,2. Pouco importante,1. Sem importância,Pouco Provável,Provável,1. Sim (passa para a questão 12),2. Talvez,2. Falta de Conhecimento,1 . Até 999€,Provável,Extremamente Improvável,Pouco Provável,Discordo totalmente,1. Sem conhecimento,2. Não,3. Razoavelmente importante,Discordo,1. até 49€,1. até 25%,1. Sim,1. Sim,1. Extremamente improvável,3. Provável,1. Sim,2. Não,3. Às vezes,3. Raramente,2. Não,4. Raramente,3. Razoavelmente importante,2. Não,3. Razoavelmente importante,3. Razoavelmente importante,3. Razoavelmente importante,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo,Não discordo nem concordo
11/14/2023 20:49:24,0,32,1. Feminino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,4. Importante,Muito Provável,Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Provável,Muito Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo,1. até 49€,1. até 25%,1. Sim,2. Não,3. Provável,2. Pouco provável,2. Não,2. Não,2. Com frequência,4. Nunca,1. Sim,3.Às vezes,4. Importante,2. Não,4. Importante,4. Importante,5. Muito Importante.,Concordo,Concordo,Não discordo nem concordo,Concordo
11/14/2023 21:16:48,0,34,2. Maculino,2. Ensino Secundário,6. Europa,2. Tenho pouco conhecimento,4. Importante,4. Importante,Provável,Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Provável,Provável,Concordo,2. Pouco conhecimento,2. Não,4. Importante,Concordo,1. até 49€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,1. Sim,2. Não,3. Às vezes,3. Raramente,1. Sim,3.Às vezes,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo,Concordo,Concordo
11/15/2023 10:34:32,0,52,1. Feminino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Improvável,Provável,2. Não (passa para a questão 11),2. Talvez,"2. Falta de Conhecimento, 3. Restrições Regulatórias e Burocracia, 5. Incerteza Política",3. de 2.500€ a 4.999€,Pouco Provável,Pouco Provável,Pouco Provável,Não discordo nem concordo,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo,1. até 49€,1. até 25%,1. Sim,2. Não,2. Pouco provável,1. Extremamente improvável,2. Não,2. Não,2. Com frequência,4. Nunca,1. Sim,5. Nunca,4. Importante,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Não discordo nem concordo,Concordo,Concordo
11/15/2023 10:59:10,0,57,2. Maculino,4. Licenciatura,3. América do Sul,2. Tenho pouco conhecimento,4. Importante,4. Importante,Pouco Provável,Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,1 . Até 999€,Pouco Provável,Provável,Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,2. Não,1. Sim,3. Às vezes,4. Nunca,1. Sim,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,5. Muito Importante.,Concordo totalmente,Concordo,Concordo,Concordo
11/15/2023 11:40:39,0,52,2. Maculino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Provável,Muito Provável,1. Sim (passa para a questão 12),2. Talvez,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Muito Provável,Muito Provável,Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,3. Razoavelmente importante,Concordo,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,1. Extremamente improvável,1. Sim,2. Não,2. Com frequência,4. Nunca,1. Sim,5. Nunca,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo totalmente,Concordo,Concordo,Concordo
11/15/2023 11:45:22,0,23,1. Feminino,4. Licenciatura,6. Europa,4. Tenho muito conhecimento,5. Muito Importante,5. Muito Importante,Extremamente Provável,Extremamente Provável,2. Não (passa para a questão 11),1. Sim,"1. Custos Iniciais Elevados, 3. Restrições Regulatórias e Burocracia",1 . Até 999€,Provável,Extremamente Provável,Muito Provável,Concordo,3. Conhecimento razoável,2. Não,5. Muito Importante,Concordo Totalmente,3. 100 a 149€,1. até 25%,1. Sim,2. Não,3. Provável,2. Pouco provável,1. Sim,1. Sim,2. Com frequência,4. Nunca,2. Não,2. Com frequência,5. Muito Importante.,1. Sim,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/15/2023 12:27:40,0,25,2. Maculino,4. Licenciatura,3. América do Sul,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Muito Provável,Extremamente Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Provável,Extremamente Provável,Muito Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,5. Extremamente provável,3. Provável,1. Sim,1. Sim,1. Sempre,4. Nunca,1. Sim,5. Nunca,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Não discordo nem concordo,Concordo,Concordo
11/15/2023 13:00:53,0,56,2. Maculino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,5. Muito Importante,Pouco Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,"1. Custos Iniciais Elevados, 3. Restrições Regulatórias e Burocracia",3. de 2.500€ a 4.999€,Extremamente Provável,Muito Provável,Extremamente Provável,Concordo,2. Pouco conhecimento,2. Não,4. Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,4. Muito provável,1. Sim,1. Sim,2. Com frequência,3. Raramente,1. Sim,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,5. Muito Importante.,Concordo,Concordo totalmente,Concordo,Concordo
11/15/2023 14:09:15,0,50,1. Feminino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Extremamente Provável,Provável,2. Não (passa para a questão 11),3. Não,"1. Custos Iniciais Elevados, 3. Restrições Regulatórias e Burocracia",1 . Até 999€,Pouco Provável,Extremamente Provável,Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,2. Não,1. Sim,2. Com frequência,4. Nunca,2. Não,2. Com frequência,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo,Concordo
11/15/2023 14:53:01,0,51,2. Maculino,1. Ensino Básico,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Provável,Muito Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,1. Sim,1. Sim,3. Às vezes,4. Nunca,1. Sim,5. Nunca,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/15/2023 16:44:59,0,35,2. Maculino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,4. Importante,Provável,Provável,2. Não (passa para a questão 11),2. Talvez,2. Falta de Conhecimento,3. de 2.500€ a 4.999€,Provável,Muito Provável,Provável,Concordo,1. Sem conhecimento,2. Não,4. Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,1. Sim,4. Muito provável,2. Pouco provável,2. Não,2. Não,3. Às vezes,4. Nunca,2. Não,4. Raramente,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo,Não discordo nem concordo,Concordo
11/15/2023 21:18:38,0,59,1. Feminino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),3. Não,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Provável,Muito Provável,Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,5. Muito Importante,Concordo Totalmente,1. até 49€,1. até 25%,1. Sim,2. Não,4. Muito provável,4. Muito provável,1. Sim,1. Sim,2. Com frequência,3. Raramente,1. Sim,3.Às vezes,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo,Concordo,Concordo totalmente
11/16/2023 9:28:26,0,26,2. Maculino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,5. Muito Importante,Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,3. Restrições Regulatórias e Burocracia,2. de 1.000€ a 2.499€,Provável,Pouco Provável,Pouco Provável,Não discordo nem concordo,2. Pouco conhecimento,2. Não,4. Importante,Concordo,2. 50 a 99€,4. 76 a 100%,1. Sim,2. Não,1. Extremamente improvável,4. Muito provável,2. Não,1. Sim,2. Com frequência,4. Nunca,2. Não,5. Nunca,4. Importante,1. Sim,4. Importante,3. Razoavelmente importante,5. Muito Importante.,Concordo,Concordo,Não discordo nem concordo,Concordo
11/16/2023 11:27:36,0,42,2. Maculino,4. Licenciatura,3. América do Sul,3. Tenho um conhecimento razoável,3. Razoavelmente importante,3. Razoavelmente importante,Pouco Provável,Pouco Provável,2. Não (passa para a questão 11),2. Talvez,"3. Restrições Regulatórias e Burocracia, 5. Incerteza Política",2. de 1.000€ a 2.499€,Pouco Provável,Pouco Provável,Pouco Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,4. Importante,Discordo,1. até 49€,1. até 25%,1. Sim,2. Não,3. Provável,1. Extremamente improvável,1. Sim,1. Sim,1. Sempre,4. Nunca,1. Sim,5. Nunca,3. Razoavelmente importante,2. Não,4. Importante,3. Razoavelmente importante,5. Muito Importante.,Concordo totalmente,Discordo totalmente,Discordo totalmente,Não discordo nem concordo
11/16/2023 12:51:23,0,39,1. Feminino,2. Ensino Secundário,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Pouco Provável,Pouco Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,4. Importante,Concordo,1. até 49€,2. 26 a 50%,1. Sim,1. Sim,4. Muito provável,2. Pouco provável,2. Não,1. Sim,3. Às vezes,3. Raramente,1. Sim,5. Nunca,4. Importante,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
11/16/2023 12:53:51,0,42,2. Maculino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,4. Importante,4. Importante,Provável,Muito Provável,1. Sim (passa para a questão 12),1. Sim,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Provável,Provável,Provável,Concordo totalmente,3. Conhecimento razoável,1. Sim,3. Razoavelmente importante,Concordo,2. 50 a 99€,1. até 25%,1. Sim,2. Não,2. Pouco provável,2. Pouco provável,1. Sim,1. Sim,1. Sempre,4. Nunca,1. Sim,5. Nunca,5. Muito Importante.,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Não discordo nem concordo,Não discordo nem concordo,Concordo
11/16/2023 14:16:12,0,43,2. Maculino,4. Licenciatura,3. América do Sul,3. Tenho um conhecimento razoável,5. Muito Importante,4. Importante,Pouco Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Pouco Provável,Muito Provável,Concordo,1. Sem conhecimento,2. Não,3. Razoavelmente importante,Concordo,1. até 49€,1. até 25%,1. Sim,2. Não,4. Muito provável,4. Muito provável,2. Não,2. Não,1. Sempre,2. De vez em quando,1. Sim,4. Raramente,5. Muito Importante.,2. Não,4. Importante,3. Razoavelmente importante,4. Importante,Concordo,Discordo,Discordo,Concordo
11/16/2023 20:21:09,0,49,1. Feminino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,4. Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),3. Não,1. Custos Iniciais Elevados,1 . Até 999€,Provável,Provável,Provável,Concordo,2. Pouco conhecimento,2. Não,4. Importante,Concordo Totalmente,3. 100 a 149€,1. até 25%,1. Sim,2. Não,4. Muito provável,2. Pouco provável,2. Não,1. Sim,1. Sempre,4. Nunca,1. Sim,4. Raramente,5. Muito Importante.,2. Não,4. Importante,4. Importante,5. Muito Importante.,Concordo,Concordo,Não discordo nem concordo,Concordo
11/18/2023 9:06:38,0,45,2. Maculino,2. Ensino Secundário,6. Europa,4. Tenho muito conhecimento,5. Muito Importante,4. Importante,Extremamente Provável,Extremamente Provável,1. Sim (passa para a questão 12),1. Sim,3. Restrições Regulatórias e Burocracia,4. de 5.000€ a 9.999€,Muito Provável,Extremamente Provável,Extremamente Provável,Concordo totalmente,4. Muito conhecimento,2. Não,2. Pouco importante,Concordo Totalmente,4. 150 a 199€,1. até 25%,1. Sim,1. Sim,5. Extremamente provável,5. Extremamente provável,1. Sim,2. Não,1. Sempre,3. Raramente,1. Sim,5. Nunca,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,4. Importante,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
11/18/2023 10:37:53,0,53,2. Maculino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Pouco Provável,Provável,Pouco Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,2. Pouco provável,2. Pouco provável,1. Sim,2. Não,1. Sempre,2. De vez em quando,1. Sim,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo,Concordo
11/19/2023 18:17:56,0,55,2. Maculino,4. Licenciatura,6. Europa,2. Tenho pouco conhecimento,4. Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),3. Não,"1. Custos Iniciais Elevados, 2. Falta de Conhecimento, 3. Restrições Regulatórias e Burocracia",1 . Até 999€,Muito Provável,Provável,Muito Provável,Concordo,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,3. 100 a 149€,2. 26 a 50%,1. Sim,2. Não,2. Pouco provável,3. Provável,1. Sim,1. Sim,2. Com frequência,3. Raramente,1. Sim,4. Raramente,4. Importante,2. Não,4. Importante,4. Importante,4. Importante,Concordo,Concordo,Concordo,Concordo
11/19/2023 23:49:47,0,26,2. Maculino,2. Ensino Secundário,3. América do Sul,2. Tenho pouco conhecimento,5. Muito Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),2. Talvez,1. Custos Iniciais Elevados,1 . Até 999€,Muito Provável,Provável,Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,2. Pouco provável,2. Não,1. Sim,2. Com frequência,3. Raramente,2. Não,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,4. Importante,Concordo totalmente,Concordo totalmente,Concordo,Concordo
11/19/2023 23:51:39,0,27,2. Maculino,2. Ensino Secundário,3. América do Sul,1. Não tenho conhecimento,4. Importante,4. Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,1 . Até 999€,Muito Provável,Muito Provável,Muito Provável,Concordo totalmente,1. Sem conhecimento,2. Não,4. Importante,Concordo,2. 50 a 99€,1. até 25%,1. Sim,2. Não,4. Muito provável,3. Provável,2. Não,1. Sim,3. Às vezes,4. Nunca,2. Não,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,4. Importante,4. Importante,Concordo,Não discordo nem concordo,Concordo,Não discordo nem concordo
11/20/2023 1:33:43,0,47,1. Feminino,5. Mestrado,3. América do Sul,3. Tenho um conhecimento razoável,5. Muito Importante,5. Muito Importante,Muito Provável,Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,3. de 2.500€ a 4.999€,Provável,Provável,Provável,Concordo totalmente,3. Conhecimento razoável,2. Não,5. Muito Importante,Concordo Totalmente,4. 150 a 199€,1. até 25%,1. Sim,2. Não,3. Provável,4. Muito provável,1. Sim,1. Sim,1. Sempre,1. Regularmente,1. Sim,4. Raramente,5. Muito Importante.,2. Não,5. Muito Importante.,5. Muito Importante.,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente
11/20/2023 19:16:47,0,58,2. Maculino,1. Ensino Básico,6. Europa,2. Tenho pouco conhecimento,5. Muito Importante,5. Muito Importante,Muito Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,1. Custos Iniciais Elevados,2. de 1.000€ a 2.499€,Provável,Provável,Muito Provável,Concordo totalmente,1. Sem conhecimento,2. Não,5. Muito Importante,Concordo Totalmente,1. até 49€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,1. Sim,1. Sim,1. Sempre,4. Nunca,1. Sim,4. Raramente,5. Muito Importante.,1. Sim,5. Muito Importante.,4. Importante,5. Muito Importante.,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente
11/20/2023 20:38:46,0,45,2. Maculino,5. Mestrado,6. Europa,2. Tenho pouco conhecimento,4. Importante,4. Importante,Provável,Provável,2. Não (passa para a questão 11),2. Talvez,"1. Custos Iniciais Elevados, 2. Falta de Conhecimento, 3. Restrições Regulatórias e Burocracia, 4.Preconceitos e Desinformação, 5. Incerteza Política",2. de 1.000€ a 2.499€,Provável,Provável,Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,4. Importante,Concordo,3. 100 a 149€,2. 26 a 50%,1. Sim,2. Não,4. Muito provável,4. Muito provável,1. Sim,1. Sim,2. Com frequência,2. De vez em quando,2. Não,4. Raramente,4. Importante,2. Não,3. Razoavelmente importante,3. Razoavelmente importante,3. Razoavelmente importante,Concordo,Concordo,Concordo,Concordo
11/21/2023 15:17:31,0,32,2. Maculino,4. Licenciatura,6. Europa,3. Tenho um conhecimento razoável,5. Muito Importante,4. Importante,Provável,Muito Provável,2. Não (passa para a questão 11),1. Sim,"1. Custos Iniciais Elevados, 2. Falta de Conhecimento",2. de 1.000€ a 2.499€,Extremamente Provável,Provável,Provável,Concordo totalmente,2. Pouco conhecimento,2. Não,4. Importante,Concordo Totalmente,2. 50 a 99€,1. até 25%,1. Sim,2. Não,3. Provável,3. Provável,1. Sim,1. Sim,4. Raramente,4. Nunca,1. Sim,4. Raramente,4. Importante,2. Não,4. Importante,5. Muito Importante.,5. Muito Importante.,Concordo,Não discordo nem concordo,Concordo,Concordo totalmente
